tweet;tipo
esta alimentado con harta pasta el asesino de mierda;2
nena eres hermosa no quiero que llores mas por un inutil de mierda de mi para mi;2
mucha mierda sobre las historias de las esperas del hospital y no hablamos nada del medievsl vaya como queremos a avila;1
 a ustedes les sale tambien este gordo virtual que anda y adelgaza desde hace varios meses estoy hasta las narices de esta mierda;3
que tan mierda tienes que ser para matar una mascota la  concha de la lora;2
leticia cada dia estas mas buena ;3
estamos todos de acuerdo que este esta siendo un ano de la reverenda mierda;1
decisiones de mierda y las mias;1
que ganas de mandar todos a la mierda ;2
me tienes harta con tus excusas de mierda si no me queres llevar ok decimelo pero no venga con ay te quiero porque no es asi si me queres tendrias que pasar tiempo conmigo no creo que querer a alguien sea meterle excusas todo el puto tiempo para no llevarte e irte a buscar;2
que cansinos que se vayan a la mierda;2
pasaron personas controles de operacion horas nadie me llamo mi perra perdia mucha sangre y empezaba hacerse sedentaria cortando su respiracion y demas volvi a repreguntar y me contestaron lo mismo hablo con el cirujano y te digo;1
ni de chiste hagas un video del payaso de mierda ese;2
no sabia que eran menores igual las cojo;3
manda a la mierda todo esa gente mala;2
grandes hijos de puta firman para mendigar una caja reprendidos de mierda;2
renya vaya mierda de nombre pf;2
no quiero hacer ni mierda de trabajos;1
me hago mierda o me quedo durmiendo como una honey;1
unos cholos de mierda ;3
estar con gripe en este calor y para colmo no poder tomar nada ;1
jajajajajajajajaja ;1
este hablo la geisha de el imbecil de fujimori;2
si nutres a tu hijo de años con pura torta y leche eres simplemente un enfermo que no merece reproducirse;2
a los amantes del paco;1
siento la necesidad de darle un beso a yeikei y q dsp me sonria mostrando sus dientitos de conejito;1
esta muy senil;1
mi vieja no puede ser tan mierda men;2
el archirrival de responsable de numerosas tragedias como la paralisis de barbara gordon la muerte de jason tod y la desaparicion de metropolis ocupa el primer puesto en la lista de villanos segun thewizard magazine y se prepara para su debut este de octubre;1
ya lo dijo a mera este es bruto y cagon ;2
me hice mierda las zapatillas que dia triste;1
me voy a cagar en mis amigas q son todas unas egoistas de mierda dios;2
un tipo me dijo fijate como hablas y a quien le hablas machirulo hijo de la mismisima mierda con esa cara de infeliz te vienes a crer mas que yo pedazo de cornudo;2
delicia a mi me ha puesto mas perra aun la ultima nota;1
pero quien va a querer hablar con una persona que se a encargado de hablar tanta mierda;2
q serie ha visto maria pq de elite y de nadia no entendio nada oh x allah que gafa;1
que puto de mierda que soy cuando el cielo esta asi celeste y rosa;1
es una forma de mandar a la mierda ahora querida;2
mierda extrano mi casa y mi familia;1
nunca mas voy me hice mierda la pata;1
tiene el apoyo del chivo que mas mea en el planeta;3
otro idiota;2
en serio que cada actualizacion de twiter es una mas mierda que la otra;2
no se que mierda me voy a poner;1
a veces el tiempo lo cura todo;1
pero le aseguro que perder un padre si que es una mierda;1
tu furia y tu mierda te describen bien;2
soria por favor que alguien le meta una mierda en la boca a esta estupida;2
el proximo pendejito que le diga fea a mi perra cobra;2
prueba de sonido binomioficial waldo filmaker en loja ecuador;1
arivera ojala se muera el hijo de su puta y perra madre;2
me ha sucedido algo similar a lo de maty;1
solo hago que acumular mierda y desgracias que me pasa;1
a ver si acaba el conazo de kiko y sale miriam queremos mierda de la buena gracias;2
los ultimos dias de alan y su cara de desesperacion ya que no tenia la influencia de antes en la fiscalia alan no sabe que es honor mas bien siempre fue un cobarde que abusaba del mas debil y ninguneaba a los peruanos en latinoamerica saben lo sabandija que fue alan;2
la fase del ucm pinta a mierda total menos alguna excepcion;2
yo lo he entendido desde el punto de vista en que su familia la reprime y ella asi se siente libre ;1
 es lo que se conoce como dolor reflejo ;1
que bueno seria un mundo sin venecos;3
que hablas si eres un autista;3
que bronca estos serranos no saben hablar;3
dios lo extrano mucho;1
dicen esto pero les gusta toto ferro;1
que finde de mierda encima te voy a ver que asco;2
cracks knuckles in gallego cerrado de pueblo;1
shonda de mierda calzona era lo mejor que tenia el programa te odio;2
amigos odio a la gente chismosa de mi salvatierra;2
q dias de mierda vengo teniendo;1
yo el de diciembre;1
mierda;1
hijo de su perra madre;2
jajaja q adri d mierda lo re trano;1
